mc,variant,schema,task,completed,duration,total_input_tokens,total_output_tokens,request_throughput,input_throughput,output_throughput,total_throughput,mean_e2e_latency_ms,median_e2e_latency_ms,p99_e2e_latency_ms,mean_ttft_ms,median_ttft_ms,p99_ttft_ms,mean_itl_ms,median_itl_ms,p95_itl_ms,p99_itl_ms,mean_tpot_ms,median_tpot_ms,p99_tpot_ms,concurrency,max_output_tokens_per_s,acc_exact_match__flexible-extract,acc_exact_match__strict-match,acc_exact_match_stderr__flexible-extract,acc_exact_match_stderr__strict-match,n_effective,n_original
32,hot0,bench_eval,gsm8k,1319,206.0303,1385284,675328,6.402,6723.6895,3277.8086,10001.4981,4956.8753,4621.0072,11115.5139,161.4398,112.9974,1234.8064,33.1416,17.0271,96.9596,162.125,9.3844,8.7126,21.3838,31.7338,1746.0,0.9189,0.9113,0.0075,0.0078,1319,1319
32,hot20,bench_eval,gsm8k,1319,228.4355,1385284,675328,5.7741,6064.2235,2956.3179,9020.5414,5504.5019,5111.8246,11922.3225,179.0632,137.9856,1179.5683,37.2975,20.5542,104.8268,152.9365,10.4216,9.6731,23.0071,31.7833,1563.0,0.9151,0.9037,0.0077,0.0081,1319,1319
32,hot40,bench_eval,gsm8k,1319,240.7951,1385284,675328,5.4777,5752.9568,2804.575,8557.5318,5798.2257,5395.0168,13604.8739,181.4316,137.9526,1185.0735,38.9583,22.3508,107.0216,155.7133,10.9918,10.2119,26.2244,31.7609,1440.0,0.9158,0.9075,0.0076,0.008,1319,1319
32,hot60,bench_eval,gsm8k,1319,250.5928,1385284,675328,5.2635,5528.0287,2694.9222,8222.9509,6034.6476,5581.3598,13813.0081,183.7665,140.6003,1423.1625,40.7962,23.9376,109.7153,156.0921,11.4499,10.622,26.7854,31.7635,1347.0,0.9174,0.9098,0.0076,0.0079,1319,1319
32,hot80,bench_eval,gsm8k,1319,252.2148,1385284,675328,5.2297,5492.4767,2677.5905,8170.0673,6074.8263,5612.7709,13556.7338,187.574,151.4347,1216.0652,40.9713,23.9782,111.4438,156.9195,11.521,10.6336,26.2064,31.7693,1344.0,0.9219,0.9128,0.0074,0.0078,1319,1319
32,hot100,bench_eval,gsm8k,1319,253.4613,1385284,675328,5.204,5465.4658,2664.4227,8129.8885,6105.0408,5668.3434,13608.7363,187.8207,144.8972,1435.2525,41.0461,24.0264,112.0406,159.4987,11.5797,10.7141,26.4009,31.7703,1371.0,0.9121,0.9045,0.0078,0.0081,1319,1319
64,hot0,bench_eval,gsm8k,1319,163.3306,1385284,675328,8.0756,8481.4732,4134.7307,12616.2039,7808.5527,7202.2133,17279.1651,288.3351,166.8907,3255.9109,51.9926,26.9351,147.6851,216.5033,14.7167,13.5906,33.1494,63.0591,2392.0,0.9204,0.9128,0.0075,0.0078,1319,1319
64,hot20,bench_eval,gsm8k,1319,179.0375,1385284,675328,7.3672,7737.3971,3771.9925,11509.3896,8580.3588,7908.6586,20068.9944,297.4116,178.9554,3336.7602,57.8341,31.6461,149.6804,219.7439,16.2093,14.9645,38.1128,63.213,2452.0,0.9143,0.9067,0.0077,0.008,1319,1319
64,hot40,bench_eval,gsm8k,1319,187.3702,1385284,675328,7.0395,7393.3002,3604.2448,10997.545,8974.9729,8252.1802,20768.1966,298.1906,181.5879,3205.9519,60.2994,34.553,150.9435,225.0349,16.98,15.6176,40.0918,63.1797,2263.0,0.9151,0.9052,0.0077,0.0081,1319,1319
64,hot60,bench_eval,gsm8k,1319,194.3238,1385284,675328,6.7876,7128.7419,3475.2722,10604.0142,9304.7672,8585.4871,21288.9575,304.2146,187.3694,3247.6575,62.6655,35.1778,154.643,219.4697,17.6136,16.2364,41.2547,63.1574,2010.0,0.9166,0.906,0.0076,0.008,1319,1319
64,hot80,bench_eval,gsm8k,1319,198.1443,1385284,675328,6.6568,6991.2904,3408.2644,10399.5548,9501.6593,8847.3498,21270.4422,293.672,190.7918,2864.1328,64.4053,38.8974,156.7843,224.1571,18.0195,16.7665,41.0312,63.2503,1825.0,0.9219,0.9128,0.0074,0.0078,1319,1319
64,hot100,bench_eval,gsm8k,1319,200.8171,1385284,675328,6.5682,6898.236,3362.9003,10261.1363,9597.8156,8857.2142,22135.0023,291.8608,195.9323,3070.9734,64.9167,38.3062,161.4673,234.0094,18.2113,16.7666,42.8366,63.04,2062.0,0.9212,0.9121,0.0074,0.0078,1319,1319
128,hot0,bench_eval,gsm8k,1319,132.8019,1385284,675328,9.9321,10431.2059,5085.2283,15516.4342,12603.5624,11536.495,28308.9627,597.4631,235.2517,6465.796,83.1764,39.9547,215.8486,300.776,23.4953,21.6799,54.9202,125.1797,4141.0,0.9196,0.9128,0.0075,0.0078,1319,1319
128,hot20,bench_eval,gsm8k,1319,141.3118,1385284,675328,9.334,9803.0298,4778.9915,14582.0213,13358.5851,12452.6874,29671.2742,602.2358,253.7917,6554.9217,89.1542,46.0275,214.5685,354.7337,24.9635,23.3755,57.6398,124.6886,3756.0,0.9174,0.9083,0.0076,0.008,1319,1319
128,hot40,bench_eval,gsm8k,1319,146.0578,1385284,675328,9.0307,9484.4899,4623.7028,14108.1927,13854.9721,12842.622,31583.3028,637.6543,254.645,6944.0011,92.0366,44.7159,241.8657,453.9086,25.8656,24.0316,61.1307,125.1197,3734.0,0.9136,0.9037,0.0077,0.0081,1319,1319
128,hot60,bench_eval,gsm8k,1319,151.4414,1385284,675328,8.7096,9147.3261,4459.335,13606.6612,14346.7289,13253.3469,34105.2688,625.7425,248.3544,6672.6992,95.7377,51.5528,234.0012,348.6947,26.8512,24.752,64.3493,124.9548,3437.0,0.9158,0.906,0.0076,0.008,1319,1319
128,hot80,bench_eval,gsm8k,1319,156.941,1385284,675328,8.4044,8826.7825,4303.0695,13129.8521,14776.8322,13782.9402,32190.6748,736.8791,250.2465,7466.435,97.9936,56.2261,233.4441,342.7721,27.4754,25.603,61.5675,124.1909,3024.0,0.9181,0.9075,0.0076,0.008,1319,1319
128,hot100,bench_eval,gsm8k,1319,154.3018,1385284,675328,8.5482,8977.7578,4376.6702,13354.428,14524.2589,13586.1947,32447.9582,637.4317,253.9948,6711.6287,96.614,51.08,231.7816,356.6619,27.1758,25.4839,62.1013,124.156,3252.0,0.9204,0.9113,0.0075,0.0078,1319,1319
256,hot0,bench_eval,gsm8k,1319,115.0876,1385284,675328,11.4608,12036.7791,5867.9476,17904.7268,21453.8109,20112.8,47524.2136,1617.5538,343.1067,12795.5807,137.9335,101.6212,331.0128,584.6861,38.8185,36.6562,90.9682,245.8786,5987.0,0.9189,0.9113,0.0075,0.0078,1319,1319
256,hot20,bench_eval,gsm8k,1319,121.579,1385284,675328,10.8489,11394.1042,5554.6427,16948.7469,22343.0043,21062.5941,50686.1295,1795.5161,388.3621,13306.8928,143.7311,116.1096,343.624,576.8544,40.2103,37.8852,95.3073,242.3973,5245.0,0.9189,0.9098,0.0075,0.0079,1319,1319
256,hot40,bench_eval,gsm8k,1319,119.6918,1385284,675328,11.02,11573.7584,5642.2243,17215.9827,22236.0001,20730.5901,50335.1941,1670.6323,389.0056,12917.4318,143.9025,100.2907,361.5471,589.5891,40.2453,37.775,95.5715,245.04,5247.0,0.9189,0.9105,0.0075,0.0079,1319,1319
256,hot60,bench_eval,gsm8k,1319,124.7882,1385284,675328,10.5699,11101.0819,5411.7939,16512.8758,22942.7374,21436.3737,52486.874,1780.4497,376.1598,13415.0109,148.0072,115.8436,344.5219,615.5624,41.4135,38.8029,97.988,242.5027,4989.0,0.9166,0.9083,0.0076,0.008,1319,1319
256,hot80,bench_eval,gsm8k,1319,123.9536,1385284,675328,10.6411,11175.8248,5448.2311,16624.0559,23034.447,21578.9516,51413.5277,1712.1526,372.5764,13454.1441,149.6632,121.269,347.4182,631.5381,41.7266,39.3329,98.9508,245.1113,5330.0,0.9151,0.9067,0.0077,0.008,1319,1319
256,hot100,bench_eval,gsm8k,1319,125.8518,1385284,675328,10.4806,11007.2662,5366.0585,16373.3247,23115.5806,21644.3564,51055.1681,2026.9012,357.2692,14710.9346,148.157,124.9688,333.3484,559.0238,41.2694,38.6798,96.3424,242.2648,4971.0,0.9158,0.9067,0.0076,0.008,1319,1319
