mc,variant,schema,task,completed,duration,total_input_tokens,total_output_tokens,request_throughput,input_throughput,output_throughput,total_throughput,mean_e2e_latency_ms,median_e2e_latency_ms,p99_e2e_latency_ms,mean_ttft_ms,median_ttft_ms,p99_ttft_ms,mean_itl_ms,median_itl_ms,p95_itl_ms,p99_itl_ms,mean_tpot_ms,median_tpot_ms,p99_tpot_ms,concurrency,max_output_tokens_per_s,acc_exact_match__flexible-extract,acc_exact_match__strict-match,acc_exact_match_stderr__flexible-extract,acc_exact_match_stderr__strict-match,n_effective,n_original
128,hot0,bench_eval,gsm8k,1319,130.9407,1385284,675328,10.0733,10579.4755,5157.51,15736.9855,12432.1449,11596.7855,27057.4846,557.2228,228.1262,6203.9823,82.5273,39.3505,209.8327,309.0128,23.2386,21.6639,52.5099,125.2322,4444.0,0.9181,0.9113,0.0076,0.0078,1319,1319
128,hot20,bench_eval,gsm8k,1319,140.9126,1385284,675328,9.3604,9830.8014,4792.5303,14623.3317,13297.1073,12411.5229,29075.9776,574.7489,239.416,6097.1352,88.6483,46.1432,217.4378,298.3485,24.897,23.2755,55.9543,124.4664,3882.0,0.9128,0.9022,0.0078,0.0082,1319,1319
128,hot40,bench_eval,gsm8k,1319,145.8439,1385284,675328,9.0439,9498.4015,4630.4848,14128.8863,13788.3625,12698.455,31898.4228,614.3215,236.1446,6468.3037,91.109,48.5836,214.036,325.3713,25.7809,23.8647,60.2437,124.7008,3371.0,0.9143,0.9045,0.0077,0.0081,1319,1319
128,hot60,bench_eval,gsm8k,1319,151.1688,1385284,675328,8.7253,9163.8215,4467.3766,13631.1981,14322.8616,13391.2928,32779.8768,582.8548,246.398,6124.2976,95.5389,52.2124,216.8101,354.9822,26.8885,25.0336,63.493,124.9719,3495.0,0.9204,0.9136,0.0075,0.0077,1319,1319
128,hot80,bench_eval,gsm8k,1319,150.902,1385284,675328,8.7408,9180.0263,4475.2764,13655.3026,14283.0575,13366.129,31428.6331,611.302,251.3271,6337.0892,95.1599,51.6465,213.9195,322.1991,26.7549,24.9192,60.3334,124.845,3249.0,0.9181,0.9098,0.0076,0.0079,1319,1319
128,hot100,bench_eval,gsm8k,1319,152.5878,1385284,675328,8.6442,9078.6003,4425.8311,13504.4314,14414.2396,13329.6553,32958.1955,622.5724,258.9678,6388.9857,95.9517,51.6042,231.2442,338.7534,26.9896,24.9501,62.8171,124.5996,2993.0,0.9204,0.9128,0.0075,0.0078,1319,1319
256,hot0,bench_eval,gsm8k,1319,115.0154,1385284,675328,11.468,12044.3379,5871.6326,17915.9705,21467.4675,20096.4641,47145.4857,1625.0923,351.9987,13010.6829,137.8052,109.9146,330.3315,517.9962,38.8305,36.5624,90.185,246.1896,5750.0,0.9212,0.9128,0.0074,0.0078,1319,1319
256,hot20,bench_eval,gsm8k,1319,121.7282,1385284,675328,10.8356,11380.1446,5547.8373,16927.9819,22459.6061,21096.1197,51215.6461,1646.5395,346.5069,13276.053,144.8593,119.4299,335.3025,512.7452,40.7301,38.0803,95.8749,243.3638,5495.0,0.9113,0.903,0.0078,0.0082,1319,1319
256,hot40,bench_eval,gsm8k,1319,121.3621,1385284,675328,10.8683,11414.4725,5564.5722,16979.0447,22338.7432,20886.5745,50029.4161,1647.9223,365.4208,12933.1614,144.6786,118.1259,358.3546,514.832,40.4908,38.1514,94.851,242.7843,5242.0,0.9143,0.9045,0.0077,0.0081,1319,1319
256,hot60,bench_eval,gsm8k,1319,122.7173,1385284,675328,10.7483,11288.4171,5503.12,16791.5371,22797.7568,21354.5076,51396.4522,1662.1236,354.9607,13448.5705,147.9471,126.3102,311.6025,526.9796,41.3613,39.0939,99.0976,245.0367,5066.0,0.9128,0.9052,0.0078,0.0081,1319,1319
256,hot80,bench_eval,gsm8k,1319,124.1322,1385284,675328,10.6258,11159.7472,5440.3933,16600.1405,22835.8073,21412.3475,50370.266,1651.9344,368.6239,12873.4865,147.5639,126.2382,331.7078,554.9645,41.4557,38.9937,95.477,242.648,4998.0,0.9143,0.906,0.0077,0.008,1319,1319
256,hot100,bench_eval,gsm8k,1319,124.2075,1385284,675328,10.6193,11152.9794,5437.094,16590.0734,22978.8595,21482.6124,50980.182,1650.1538,375.5355,12853.804,149.2417,125.6567,351.1682,480.8772,41.7392,39.3605,96.3071,244.02,5041.0,0.9136,0.9014,0.0077,0.0082,1319,1319
