mc,variant,schema,task,completed,duration,total_input_tokens,total_output_tokens,request_throughput,input_throughput,output_throughput,total_throughput,mean_e2e_latency_ms,median_e2e_latency_ms,p99_e2e_latency_ms,mean_ttft_ms,median_ttft_ms,p99_ttft_ms,mean_itl_ms,median_itl_ms,p95_itl_ms,p99_itl_ms,mean_tpot_ms,median_tpot_ms,p99_tpot_ms,concurrency,max_output_tokens_per_s,acc_exact_match__flexible-extract,acc_exact_match__strict-match,acc_exact_match_stderr__flexible-extract,acc_exact_match_stderr__strict-match,n_effective,n_original
64,hess80,bench_eval,gsm8k,1319,201.1226,1385284,675328,6.5582,6887.7593,3357.7929,10245.5522,9638.4461,8915.0752,21883.468,304.9747,187.8806,3221.5376,64.9464,42.2523,154.1681,211.5031,18.2651,16.8721,42.5253,63.2108,1876.0,0.9204,0.9136,0.0075,0.0077,1319,1319
64,hess100,bench_eval,gsm8k,1319,198.237,1385284,675328,6.6537,6988.0205,3406.6703,10394.6908,9498.8859,8764.0025,21523.3297,311.3248,188.9877,3288.497,64.1123,38.7774,156.6999,213.2576,17.9796,16.5875,41.3738,63.2023,2011.0,0.9189,0.9098,0.0075,0.0079,1319,1319
128,hess0,bench_eval,gsm8k,1319,133.4431,1385284,675328,9.8844,10381.082,5060.7928,15441.8748,12681.1038,11762.4059,28391.9094,557.7731,225.2272,6272.0816,84.0347,47.4324,201.8229,313.6616,23.7247,21.9339,54.9104,125.3446,3799.0,0.9196,0.9113,0.0075,0.0078,1319,1319
128,hess20,bench_eval,gsm8k,1319,148.9517,1385284,675328,8.8552,9300.2197,4533.8709,13834.0906,14153.9508,13163.2119,31558.8417,585.8402,246.2993,6407.2308,94.4011,52.489,223.8107,331.4285,26.5521,24.6971,59.8752,125.3363,3515.0,0.9128,0.9075,0.0078,0.008,1319,1319
128,hess40,bench_eval,gsm8k,1319,153.1536,1385284,675328,8.6123,9045.0605,4409.4804,13454.5409,14451.0951,13352.6879,32813.6663,596.5251,256.0332,6319.7322,96.5744,53.2617,218.725,372.6878,27.1127,25.2526,63.7989,124.4567,3531.0,0.9249,0.9158,0.0073,0.0076,1319,1319
128,hess60,bench_eval,gsm8k,1319,154.1736,1385284,675328,8.5553,8985.2208,4380.3084,13365.5293,14589.8957,13547.4755,33358.2679,616.8373,253.2573,6815.6785,97.8014,54.6481,220.1336,346.9795,27.3445,25.5303,64.1734,124.8208,3131.0,0.9196,0.9098,0.0075,0.0079,1319,1319
128,hess80,bench_eval,gsm8k,1319,153.4935,1385284,675328,8.5932,9025.0357,4399.7183,13424.754,14459.5943,13376.8484,32735.1082,593.2723,248.7926,6399.5508,96.8949,53.4843,231.5611,339.7731,27.1357,25.1215,63.3955,124.2542,3276.0,0.9181,0.9098,0.0076,0.0079,1319,1319
128,hess100,bench_eval,gsm8k,1319,159.8003,1385284,675328,8.2541,8668.8474,4226.076,12894.9234,15056.6309,13954.3896,34051.6709,628.8631,259.7325,6623.7212,100.2054,52.8517,241.8519,399.4702,28.2344,25.9987,64.7513,124.2783,3265.0,0.9136,0.903,0.0077,0.0082,1319,1319
256,hess0,bench_eval,gsm8k,1319,115.8831,1385284,675328,11.3822,11954.149,5827.6653,17781.8143,21573.1894,20293.2768,48323.3872,1725.0618,356.84,13034.1683,137.876,106.5667,352.1875,521.2845,38.8417,36.6574,92.8012,245.5495,5827.0,0.9174,0.909,0.0076,0.0079,1319,1319
256,hess20,bench_eval,gsm8k,1319,126.0921,1385284,675328,10.4606,10986.287,5355.8312,16342.1182,23369.9724,21972.7331,51206.5984,2212.8102,375.7487,15411.4362,148.5658,120.8982,360.3651,547.8988,41.4034,38.9557,95.7706,244.4641,5184.0,0.9143,0.9067,0.0077,0.008,1319,1319
256,hess40,bench_eval,gsm8k,1319,124.6539,1385284,675328,10.5813,11113.0458,5417.6263,16530.6721,23238.8435,21700.5237,52164.126,1678.8064,360.9267,13413.9112,150.3979,126.3221,342.4939,539.0618,42.1919,39.5295,99.2688,245.8972,5017.0,0.9181,0.9121,0.0076,0.0078,1319,1319
256,hess60,bench_eval,gsm8k,1319,125.0334,1385284,675328,10.5492,11079.3097,5401.1799,16480.4896,23129.3503,21503.83,51853.0193,1749.5179,363.5204,13336.325,149.8285,127.4448,338.2312,612.3146,41.8392,39.3648,95.9753,243.9957,4986.0,0.9136,0.906,0.0077,0.008,1319,1319
256,hess80,bench_eval,gsm8k,1319,123.6994,1385284,675328,10.6629,11198.7975,5459.4304,16658.2279,22881.8088,21536.3096,51276.2504,1726.0154,365.3839,13236.4288,148.4348,125.3919,353.6921,536.8022,41.4008,39.1123,96.5173,243.9876,5009.0,0.9174,0.9067,0.0076,0.008,1319,1319
256,hess100,bench_eval,gsm8k,1319,125.3169,1385284,675328,10.5253,11054.2491,5388.9628,16443.2119,23210.2305,21831.7146,51374.5039,1754.6662,364.8645,13156.7731,150.5831,127.3301,346.8499,529.3508,41.9874,39.711,97.8168,244.2951,5024.0,0.9136,0.906,0.0077,0.008,1319,1319
